image_path,label,name,brand,notes,image_url
perfume_images\f5wq6qcxlyq4ifdj0j46nawgf41pnsmtjv6pxxm7iy4zz5bwpg1konyq4h3w-w500-q85.jpg,Woody,Coffee Man Fusion,O Boticário,"Coffee, Cardamom, Iris / Orris, Cedarwood, Sandalwood, Amber, Bamboo, Bergamot, Geranium, Ginger, Leather, Nutmeg, Patchouli, Pepper, Tobacco Leaf, Violet",
perfume_images\3cc5nx19p8bf5e269iacjihpj8np49nclswhyzk8v4msekr69f5kd36qocv9-w500-q85.jpg,Fresh,Wake Up World,Parle Moi De Parfum,"Bergamot, Tonka Bean, Green Apple, Ambergris, Ambroxan (Ambergris), Benzoin, Rose (Turkey), Vanilla (Bourbon)",
perfume_images\tnrjqy2wops2fdolgmyjm34u848vrl9xcjsmpmf2djuyyaxrke71loaijq6l-w500-q85.jpg,Woody,Humor A Rigor,Natura,"Cedarwood, Bergamot, Lavender, Coumarin (Tonka Bean note), Apple, Apricot, Cardamom, Musk, Pear, Violet",
perfume_images\u1y085bgvmfis26novwgqx0uzjco2dpqng0gvipjkt5qf8evjkmqj194zhh1-w500-q85.jpg,Woody,6 Jasmin Sandalwood Oriental Musk,Rosendo Mateu,"Sandalwood (India), Jasmine (Sambac), Musk, Amber, Vanilla",
perfume_images\t4dy1h4zftqmsio9bq1r0hdelyompq8uytkolds2piahn6l8anl8gfabhkwu-w500-q85.jpg,Woody,Deeply Yours For Men,Enrique Iglesias,"Cashmeran (Woody musky), Pepper, Violet Leaves, Bergamot, Apple, Melon, Ozonic Notes, Vanilla",
perfume_images\ol6qjbghi7armin41qjk8ri5j2fxsdan9d6vxpkisb42vw8978cmvwjas2dj-w500-q85.jpg,Citrus,L'Atelier Des Subtils Eau De Vert,Vt X Bts,"Palisander Rosewood, Vanilla, Tonka Bean",
perfume_images\52e41zrxv2migatwaszxps68pdke3f1d363mmjgifmluisckxvwpzrrr7bg6-w500-q85.jpg,Floral,Garden Lilies 2017,Jo Malone London,"Lily, Musk, Jasmine, Ylang-ylang, Vanilla",
perfume_images\bv2kn9e31use9762e1qtvs9iyvtf17itnr9jwqssbcbny2mmhgtk5nd34ojt-w500-q85.jpg,Floral,All Of Me,Derek Lam 10 Crosby,"Lily Of The Valley, Pear, Musk, Freesia, Iris / Orris, Peach, Sandalwood",
perfume_images\jcfucxesj8n7t37hzz5dhslcqwj625649fdulqlfgzmt2ruabmhrb1hxpq5u-w500-q85.jpg,Citrus,Green Tea Nectarine Blossom,Elizabeth Arden,"Green Tea, Bergamot, Musk, Peach",
perfume_images\3gfwzpxi6w7rsqf9z4wjybj094ya3fvvoizfkrrugeiqz33pj67oeo3x4yu0-w500-q85.jpg,Floral,Chèvrefeuille,Yves Rocher,"Honeysuckle, Jasmine, Lemon, Cedarwood, Myrrh",
perfume_images\s5wk6qnrgmwwrjkx0q6oybli9wrzzhtym959l8bpeq6ve3giw6csiackz4k7-w500-q85.jpg,Sweet,Gourmand Coquin,Guerlain,"Rose, Rum, Black Pepper",
perfume_images\x1ddannku98s0bj3d539dpivoy9dz4y0sz3zok0qssms6bg2bv0ag75ohat4-w500-q85.jpg,Floral,Natsumi,Annayake,"Orange Blossom, Musk, Jasmine, Lily Of The Valley, Orchid, Peony, Rose, Violet, Ylang-ylang, Peach, Plum, Bergamot, Cedarwood, Mandarin, Sandalwood",
perfume_images\47miomyq2lr84bax9t6agv8qn7y29hdwwpmq4porfz9ntfjd85femi97j91k-w500-q85.jpg,Woody,Majesty,Richouli,"Cedarwood, Incense / Olibanum, Amber, Cashmeran (Woody musky), Vetiver, Galbanum, Angelica, Musk, Oakmoss",
perfume_images\6pql1fw61ss3nglikrlhk8jbizmdsilqjsdciloxzqtlha13bpkyjd6p863u-w500-q85.jpg,Fresh,Malakeos,Bulgari,"Lavender, Mint, Geranium, Musk, Peppermint, Cardamom, Guaiac Wood, Oakmoss",
perfume_images\qaq0t99n8mfyvlq9hn9fkcomhnmb0rfvd6enka4uk10rlqxym4rj5qh7st08-w500-q85.jpg,Woody,Highlands,Jean&Len,Bergamot,
perfume_images\buw5z9snxqir31v3hbszf5804ck3oqxgc18b7bq4k1fq8mlchkig5qn9pfra-w500-q85.jpg,Floral,Nerolia Vetiver Harvest 2023,Guerlain,"Vetiver, Neroli (Calabria), Neroli (Tunisia)",
perfume_images\ew50d4edetz8z921es1eahy78csg8n9l8jsl98kepivjpprknegwdj6b3hoc-w500-q85.jpg,Floral,Gisada Iris,Gisada,"Iris / Orris, Rose, Musk, Pink Pepper, Violet, Amber, Lime, Sandalwood, Vetiver (Haiti)",
perfume_images\03st3x53h40wpzx8cqqq5dr3dmdpb0s0mjb6m7a8khzo147daapjru6gvzg6-w500-q85.jpg,Floral,A Drop D'Issey,Issey Miyake,"Musk, Orange Blossom, Rose Damascena, Green Notes, Star Anise, Ambrox (Ambergris), Cedarwood (America), Vanillin (Vanilla note)",
perfume_images\01254_Geza_Schoen_Eau_de_Toilette.jpg,Citrus,Geza Schoen Eau de Toilette,Project Renegades,"Pink pepper, lemon, bergamot, cassis, lime, osmanthus, iris, fir, juniper, hedione, mate, iso-E super, cedar, sandalwood, labdanum, incense, myrrh, castoreum, ambrette",https://static.luckyscent.com/images/products/74001.jpg?width=400&404=product.png
perfume_images\01674_Black_Amber.jpg,Woody,Black Amber,Agonist,"Incense, Thornbush Flower, Red Seaweed, Davana, Spanish Labdanum, Java Vetiver, Tobacco Flower, Incense, Cedarwood, Cypriol Nagarmotha, Patchouli, Black Amber, Madagascar Vanilla, Styrax, Indian Sandalwood",https://static.luckyscent.com/images/products/51421.jpg?width=400&404=product.png
perfume_images\zhcavmr6vacvj7kzegidn95lgf4cgcaj5cmt44oziw7c2lvcp5edz2u7fleg-w500-q85.jpg,Fresh,Privé Homme Golden,Jequiti,"Rosemary, Apple, Patchouli (Indonesia), Mint, Amber, Cinnamon, Coumarin (Tonka Bean note), Ginger, Grapefruit, Leather, Mandarin, Musk, Nutmeg, Orange Blossom, Black Pepper, Cedarwood (Atlas), Vanilla (Madagascar)",
perfume_images\01064_Pachuli_Kozha_Extrait_de_Parfum.jpg,Woody,Pachuli Kozha Extrait de Parfum,Nishane,"Hyacinth, ylang ylang, artemisia, chamomile, patchouli, black pepper, leather, honey, incense",https://static.luckyscent.com/images/products/77408.jpg?width=400&404=product.png
perfume_images\y0cndh3tqs81tm1xu03iyoo3722m1lp3bs86b9bs1rw91tpfbxm2bxvu3akh-w500-q85.jpg,Woody,Bayres Hombre,La Martina,"Oakmoss, Magnolia, Pink Pepper, Bergamot, Grapefruit, Amber, Caramel, Coriander, Geranium, Jasmine, Leather, Lily Of The Valley, Rhubarb, Tonka Bean, Vetiver",
perfume_images\nv41yzfqwc4qmrhmvlwsxufm3fuuh73hjg0f94zegxlf7dsknvrn0odl72s0-w500-q85.jpg,Fresh,The Atlantic,Scent Library,"Bergamot, Lavender, Mandarin, Clary Sage, Cardamom, Nutmeg, Amber, Jasmine, Marine, Musk, Patchouli",
perfume_images\ph7ozaybfcaufr1v19wvmhd5et8jbvu9rkirda66u6yk5zh1qslxmb5d54cr-w500-q85.jpg,Floral,Cuba Authentic Happy,Cuba,"Orange Blossom, Bergamot, Vanilla, Jasmine, Tuberose, Cedarwood, Musk",
perfume_images\qbywchelc9m5ndp8jnty0m7geagbofwmhq86e4duc9oz83p5rvdq7alge7nj-w500-q85.jpg,Woody,Eau De Iceberg 74 : Oud,Iceberg,"Oud / Agarwood, Elemi, Geranium (Egypt), Cypriol / Nagarmota, Cardamom, Ciste Labdanum, Ginger, Saffron, Patchouli (Indonesia)",
perfume_images\01758_Cinnamon_Eau_de_Toilette.jpg,Amber_Oriental,Cinnamon Eau de Toilette,Comme des Garcons: Sherbet,"cedar, bergamot, cinnamon, saffron, carnation, benjamin (aka benzoin, a resinous balsam), vetiver, teak wood, white musk",https://static.luckyscent.com/images/products/22000.jpg?width=400&404=product.png
perfume_images\zlimm4x4a2m6ci8a1fxx8ppo2lf7ko1281mnig44hx6vub4gt67183n5ewv3-w500-q85.jpg,Floral,Beso De Luna,Beso Beach,"Magnolia, Pink Pepper, Rose, Bergamot, Lemon, Cashmeran (Woody musky), Musk, Patchouli",
perfume_images\nlwwz7xf0z5zjrwgcbyc5a4cej46dzncraqhtvw2wfcwn2yaqfpoam95fo5p-w500-q85.jpg,Floral,Clean Endless Summer 2019,Clean,"Vanilla, Ambroxan (Ambergris), Galbanum, Freesia, Heliotrope, Lily Of The Valley, Rose, Neroli, Sandalwood, Violet Leaves",
perfume_images\luf9y546obrcl3nw5qch2gpw5uv4q559mxuah0ur0jyleleofuqidlzq6vy0-w500-q85.jpg,Floral,Velvet Rose,Dolce & Gabbana,"Rose (Bulgaria), Rose Centifolia, Rose (Morocco), Lily, Mandarin, Musk, Geranium (Egypt)",
perfume_images\01693_Anbar.jpg,Amber_Oriental,Anbar,Comme des Garcons: Cologne,"amber, mandarin, carnation, musk",https://static.luckyscent.com/images/products/30902.jpg?width=400&404=product.png
perfume_images\38zcbje4w1las2il8calrdrhihpwllcoqqq7xxzk3k13sjrukoum7xii6t9l-w500-q85.jpg,Woody,Mon Cuir,Ramón Monegal,"Leather, Orange Blossom, Nutmeg, Sandalwood (Australia), Musk, Patchouli",
perfume_images\8a17fyqf5io3iiq0pahn7q4o096lb7x9lbk4e53l2fcuelc6inpa355ctyky-w500-q85.jpg,Floral,Cinéma Eau De Parfum,Yves Saint Laurent,"Jasmine (Sambac), Amber, Mimosa, Peony, Vanilla, Clementine, Musk",
perfume_images\3hrmca1bjex1tnl3rt0afvwo9ayu1wkgs9yymsgdnlcgbjwpjk8ndv0yoh1e-w500-q85.jpg,Floral,88 Daren Sammy For Women,Asgharali,"Orange Blossom, Patchouli, Jasmine, Pear, Pink Pepper, Vanilla, Cedarwood, Coffee, Musk",
perfume_images\nxjhreskfe920j0wu9dw8enc8buuq31dz83s6thxtyq6dvudm4rnw37fofg8-w500-q85.jpg,Floral,California Rêverie,Van Cleef & Arpels,"Jasmine, Mandarin, Vanilla, Beeswax, Neroli",
perfume_images\0v12ucsekbku5y9ym99odsf4e73pejz8exu5jgo8y7vv61ead5a02ou59k8m-w500-q85.jpg,Floral,Tu Te Calmes,Maison Matine,"Neroli, Cedarwood (Virginia), Lemon, Cardamom, Musk, Petitgrain, Vetiver (Haiti)",
perfume_images\hni60ftzyomzcxx21vx6fak4sb8y79qkfvka61vhp8nm8j3okd5ur5jnpmjt-w500-q85.jpg,Woody,Saffron Superfluide,Les Eaux Primordiales,"Saffron, Suede, Raspberry, Incense / Olibanum, Clary Sage, Thyme, Cedarwood, Guaiac Wood, Jasmine, Lily Of The Valley",
perfume_images\w9oti07infcqenrpzmqs4efsd8dks5mawrgfbkakfr5awdnk79zncdidm5qd-w500-q85.jpg,Floral,Gotas De Color #Happyfaces 2021,Agatha Ruiz De La Prada,"Lily Of The Valley, Peach, Musk, Peony, Rose, Jasmine (Sambac), Apple, Bergamot, Cedarwood",
perfume_images\4nqd66r5raeng0z1psd558ksc2ofx5owi8xcp4z7oo0e6kptpv1fq7nlddw5-w500-q85.jpg,Woody,Christian Lacroix Nuit Him,Avon,"Guaiac Wood, Tobacco Leaf, Bergamot, Cardamom, Ciste Labdanum, Iris / Orris, Lavender, Violet",
perfume_images\01179_Sublimes_Essences_Musc_Perfume_Oil.jpg,Citrus,Sublimes Essences Musc Perfume Oil,Ex Nihilo,"Clove, rose, freesia, orange blossom, serenolid musk, nirvanolid, cosmone, patchouli",https://static.luckyscent.com/images/products/72017.jpg?width=400&404=product.png
perfume_images\2exp52c8fcdhg4xe5kfs7lwd2yrmpcopal23dmy93gjjp3xx5w0azfqbq3or-w500-q85.jpg,Woody,Accra,Gallivant,"Leather, Mango, Saffron, Cocoa, Cedarwood, Coffee, Musk, Patchouli, Pepper, Tobacco Leaf",
perfume_images\a16tdgm7yd6rl8mzlqronhjj9recvaa39qb7vb7n5lp47z3b5i3kmpt5g94n-w500-q85.jpg,Woody,Matcha & Frangipani 2020,4711,Green Tea,
perfume_images\lpq19qar18ib7ykykyljo71g5h093bw2gi9w9qz2izq3hevgwc954zsbmqrb-w500-q85.jpg,Woody,Vanilla & Cedarwood,Kiehl'S,"Cedarwood, Vanilla, Cinnamon, Amber, Ciste Labdanum, Iris / Orris, Lily, Opoponax, Castoreum, Violet",
perfume_images\v7ul7y0kdmpoqyfjiw2g91pplhh8vtqnz7t08kyhzfoi94o8ldzbqa6xfzoe-w500-q85.jpg,Amber_Oriental,Fresh Brewed Coffee,The Library Of Fragrance,Coffee,
perfume_images\669o6ztkinr7jivjsypidh13yoitls85pzn6gy4f0iftg6t252tu9efubsuw-w500-q85.jpg,Sweet,Nº 16 Flor Exotica,Victorio & Lucchino,"Magnolia, Rose, Bergamot, Vanilla, Musk, Patchouli, Pink Pepper",
perfume_images\pb90zdb96ykv1vg9yjrzhn24yxt8ijhmng5f15md26ov772wxw6scqu1jf9f-w500-q85.jpg,Woody,J'Ose Parfum,Eisenberg,"Coffee, Jasmine, Sandalwood, Amber, Tonka Bean, Vanilla, Bergamot, Lavender, Lemon, Mint, Musk, Patchouli",
perfume_images\gtco6jrs8brkeyu2eofccs6l6q9c7sgbhohoc6nn0bkojsghxaresdig3amh-w500-q85.jpg,Floral,Curve Connect For Her,Curve,"Tangerine, Amber, Cinnamon, Bergamot, Plum, Cedarwood, Patchouli, Saffron, Sandalwood, Vanilla (Tahiti)",
perfume_images\4rmk622sx6t0eevbx1ild1kfaal8qmanf5n9ouu1md8pi1wcfkoa918x2zyg-w500-q85.jpg,Woody,Sparkling Opal,Thameen,"Oud / Agarwood, Guaiac Wood, Ginger, Cedarwood, Ciste Labdanum, Sandalwood, Cinnamon, Elemi, Incense / Olibanum, Iris / Orris, Jasmine, Rose, Vanilla, Cardamom, Leather, Musk, Nutmeg, Pepper, Saffron",
perfume_images\mbroli7wlmkwfctgribak8w9de0bo912fer9g142h8h473ex64flxdn9fn9n-w500-q85.jpg,Floral,Oud Zanzibar,Blend Oud,"Oud / Agarwood, Jasmine, Sandalwood, Magnolia, Bergamot, Lemon, Melon, Patchouli, Spicy Notes",
perfume_images\ru1uet8e6nn985sqwsaliv8spg3zbmbqhstnqap8htocpopjlp2all869tcv-w500-q85.jpg,Woody,In Love,Tfk,"Guaiac Wood, Pink Pepper, Jasmine, Cedarwood, Sandalwood, Amber, Bergamot, Lemon, Apple, Patchouli",
perfume_images\y2yxa8qgaenhw9big2gebifr5609r2zjimyovj2bb7ms7hl7acfujo3mny6s-w500-q85.jpg,Woody,Winter Oak,Raw Spirit,"Incense / Olibanum, Lemon, Cedarwood (Atlas), Cedarwood (America), Vetiver (Haiti), Clove, Mate, Saffron, Bergamot, Geranium, Leather, Musk, Oakmoss, Patchouli, Pepper, Clary Sage, Suede",
perfume_images\01934_Alba_Eau_de_Parfum.jpg,Woody,Alba Eau de Parfum,Profumum,"sandalwood, hazel wood, almond wood, amber",https://static.luckyscent.com/images/products/33918.jpg?width=400&404=product.png
perfume_images\srjiqkm9cdq6u4hzsx9rka4wb4oufrnckmnuswdqyibk04ipwqmttp44z6gw-w500-q85.jpg,Woody,Aoud Lemon Mint,Mancera,"Oud / Agarwood, Lemon, Mint, Vanilla (Madagascar), Leather, Amber, Coriander, Musk, Patchouli, Jasmine (Egypt), Pepper (Madagascar), Vetiver (Haiti)",
perfume_images\tdkj9fwpvtxxba1as7fwof6ojk3e4ltiz0y7yj6qse6dc4pblu6jmme7ocgo-w500-q85.jpg,Woody,Storm,Zayn & Myza,"Lavender, Bergamot, Birch Tar, Geranium",
perfume_images\2c6eg1nca39cd9kumaofeei6mr8ywkzxajrempvnqwu8ibfquy4qaxqlei0r-w500-q85.jpg,Woody,Le Hipster,Le Parfum Citoyen,"Cedarwood, Lemon, Violet, Sandalwood, Vetiver, Amber, Ginger, Ozonic Notes, Pepper",
perfume_images\jhwy79dvbmnpfsv92oyfk64e3daw65okbb0yivabglubx0qjqpmbyoqlec01-w500-q85.jpg,Woody,Meili 8,Alexandre.J,"Jasmine, Grapefruit, Musk, Cashmeran (Woody musky), Woody Notes, Tuberose, Ylang-ylang, Bergamot, Vanilla",
perfume_images\qfchj29hfwr5mjy61tapuc4pb0ma6btt96s6p6fc2sigp18xph6ul3l4ustm-w500-q85.jpg,Spicy,Bruno Banani Man Eau De Parfum,Bruno Banani,"Lavender, Star Anise, Tonka Bean, Clove, Coffee, Heliotrope, Sandalwood, Vanilla",
perfume_images\uilcpfh1pltqw9yhlux6qnwea6zjl1dt45nv2j0j4fry1eoirbx6ntgx9jux-w500-q85.jpg,Woody,Pg07 : Solsekia,Pierre Guillaume Paris,"Orange Blossom, Vetiver, Citruses",
perfume_images\4wku3fh8m6593172f1pzm7z95do5sma9fpu5snir71p9r815umq70s7vjix8-w500-q85.jpg,Fresh,Luna Rossa Eau Sport,Prada,"Lavender, Bergamot, Lemon, Woody Notes, Ambergris, Ginger",
perfume_images\lwpypcn99njbk9p22k0v1dhpit0wsf508b8qr3l4w8tj03bxibyua07i2r6e-w500-q85.jpg,Floral,Wonderland Peony,Floral Street,"Peony, Cotton Candy, Violet, Cedarwood, Lemon, Vanilla, Vetiver",
perfume_images\7j93zh96kamww4n37ey47nevdjbdw6nq9kmtumn9g5cf1jrjau35ohlt0qqe-w500-q85.jpg,Floral,Red Musk,The Body Shop,"Musk, Lotus, Aldehyde, Pepper, Tobacco Leaf, Vetiver",
perfume_images\p0wd7got9en4vod9f2rjisija6pc982r01x5l7p01l1la5wn5phkfez2tnue-w500-q85.jpg,Amber_Oriental,Vanilla Black Pepper,Bohoboco,"Vanilla, Black Pepper, Cedarwood, Heliotrope, Rose, Orange Blossom, Musk",
perfume_images\n5tfed7olqvqawed5umk99fn0gqo5goppiagb5dly9v3ka4qc4nco4kru89i-w500-q85.jpg,Woody,Spanish Leather,Truefitt & Hill,"Cedarwood, Patchouli, Bergamot, Sandalwood, Carnation, Cinnamon, Iris / Orris, Rose, Amber, Musk, Tonka Bean, Vanilla",
perfume_images\oovhbgvvahp2qqkf3x2yq1red1oy3v77gbjiyfqqgz9scwn4ol32bvjf3mzw-w500-q85.jpg,Woody,Accento,Xerjoff,"Amber, Hyacinth, Jasmine, Vetiver, Vanilla, Iris / Orris, Musk, Patchouli, Pineapple, Pink Pepper",
perfume_images\jckpku36ooaibjg3yesznpbg1ccvcra10fvn68l79lukqqd6avt1416jjh7n-w500-q85.jpg,Sweet,Vanille Exclusive,Mancera,"Vanilla, Osmanthus, Amber, Jasmine, Musk, Peach, Sandalwood, Tuberose, Violet",
perfume_images\rt2svnhxxy56uhyno2ro363cd6wunr8l9uj6vj6nanjohm868deocnnxq8pc-w500-q85.jpg,Woody,Year Of Zayed 2018,Ajmal,"Oud / Agarwood, Musk, Saffron, Amber, Ylang-ylang, Violet",
perfume_images\4dl3vtn2efll6gedjmzwriud5erg796f4myy2l0xe8vlpspdtryy2iugpope-w500-q85.jpg,Woody,Harmony,Park Avenue,"Vetiver, Musk, Patchouli",
perfume_images\dncpoi9dc8knnx4d7x387myudytn4q4sjb67bq496fc5jivcugaa0mtny62i-w500-q85.jpg,Floral,Sea & Sun In Cadaquès,Salvador Dalí,"Lotus, Amber, Lily, Tiare, Vanilla, Bergamot, Grapefruit, Mandarin, Musk, Patchouli, Sandalwood",
perfume_images\thrhfs277mctkn6a2demre3yhbxwd2rlm91e40g6inqy8hve2ltnjlwoshg3-w500-q85.jpg,Floral,Floral,Women'Secret,"Violet, Pink Pepper, Musk, Apple, Freesia, Jasmine, Pear, Amber, Woody Notes",
perfume_images\0dglilrp7e2qvdzryyd828b6lrkxtv9h3us8v27zkk9v8dbs8ckcz54ff8qc-w500-q85.jpg,Floral,Platinum,Royal Mirage,"Orange Blossom, Amber, Plum, Jasmine, Rose, Apricot, Peach, Vanilla, Cedarwood",
perfume_images\kftw405gi3s2v6c595xzzq3jx5phpyp08iow0hlrap7vu3ulhku7q73gfh2m-w500-q85.jpg,Floral,Sì Passione,Giorgio Armani,"Jasmine, Musk, Heliotrope, Rose, Pear, Pink Pepper, Cedarwood, Vanilla, Orcanox (Ambergris)",
perfume_images\xxa7dmh8oqmylmgvz74wq4oxuu26ozpcvya1o69hqrrw8p7nqfd8qjq0jjiq-w500-q85.jpg,Woody,Fille En Aiguilles,Serge Lutens,"Woody Notes, Incense / Olibanum, Leather",
perfume_images\q8j8bh9mgeoortig08rt3g7d3fy39l55euantikpj3uief29u0k11afy07zp-w500-q85.jpg,Fresh,Clean Slate,Bath & Body Works,"Clary Sage, Citruses, Sandalwood",
perfume_images\bph41ophkf5ufq5q6xqky36pod473cokq8n3ihy2yljelce2ijic4q5ig43v-w500-q85.jpg,Woody,Patchouli Absolu,Tom Ford,"Patchouli, Leather, Amber, Bay, Cashmeran (Woody musky), Cypriol / Nagarmota, Musk, Rosemary, Tonka Bean, Woody Notes",
perfume_images\xc52zlkht8wtopfnmr9jhs7v2h4os2vc3iwiqqfj6pe5zdn0s2g78hd9nr3e-w500-q85.jpg,Floral,Lipsy Rose Gold,Avon,"Orange Blossom, Cedarwood, Pink Pepper",
perfume_images\qkc79ey124m7xy68ba86hhzhlv7jei9kedu7o0q732st3vw6viskg2731xiq-w500-q85.jpg,Citrus,Clover 2010,Demeter Fragrance Library,"Green Notes, Aromatic Notes",
perfume_images\xn23djjzmjpzwil49xibjzqoo47psgairzhuzdcazozw7k5it61scav20t4c-w500-q85.jpg,Floral,Oud Sapphire,Blend Oud,"Oud / Agarwood, Rose (Bulgaria), Rose (Turkey), Violet, Benzoin, Vanilla",
perfume_images\yx6pfn4iuf8useaibxkhkb0d92fn2ogkqyshv8cpy2ef56bmagwwtg0zvq0h-w500-q85.jpg,Floral,Fire Island,Bond No. 9 I Love Ny,"Cardamom, Musk, Neroli, Tuberose, Ozonic Notes, Patchouli",
perfume_images\opxfmen1m5re0zx7mhotubqo0tdq1cg4au5guv6f1ug9icbn5bgvpqc0srs9-w500-q85.jpg,Woody,Riflesso Blue Vibe,Trussardi,"Artemisia, Yuzu, Geranium, Leather, Rum, Tobacco Leaf",
perfume_images\79nsj2ug0zuz344qb876il83arl98o4r1ix91ib1rm913k72gqwh9255r6k0-w500-q85.jpg,Woody,Earth,The Man Company,"Cinnamon, Musk, Tobacco Leaf",
perfume_images\sl8tr7sskuwra9hteigzp4b7dpr23g4u16ese3m476udv2verdlb7izg4kva-w500-q85.jpg,Woody,Oudgasm Rose Oud | 16,Kayali,"Oud / Agarwood, Rose (Bulgaria), Geranium, Cashmeran (Woody musky), Lemon, Pear, Vanilla (Madagascar), Peony",
perfume_images\9dgu3ve4suvsj0q5wc8wsbyna9f31b2irw7mjz7qhrihaziahbfxdnqochnn-w500-q85.jpg,Woody,Fastrack : Pulse For Him,Skinn,"Cedarwood, Citruses, Patchouli",
perfume_images\eped65mt7ko9ir02i3t6rw1fgxv0wwf0lzpwbrz1ni2pogpd86ql6l8zdkkq-w500-q85.jpg,Floral,Séxûal Femme,Michel Germain,"Tuberose, Patchouli (Indonesia), Rose (Bulgaria), Tonka Bean, Angelica, Mandarin, Raspberry",
perfume_images\m9hiqks9boqy1ix635g0lievvwbo8cvbcj5rfbneefm8fzwyzpqr6xw9mka6-w500-q85.jpg,Woody,Rose De Nuit,Serge Lutens,"Rose (Turkey), Apricot, Beeswax, Vetiver, Amber, Jasmine, Musk, Patchouli",
perfume_images\gfwllourntpydzvbswnrqydvwwc9wo5qglmtxog3mwza3eozkk9bh0jd004p-w500-q85.jpg,Woody,Ta'Weel,Lattafa,"Cypriol / Nagarmota, Fruity Notes, Spicy Notes, Sandalwood, Vetiver, Woody Notes, Bergamot, Pepper, Geranium, Mandarin, Musk",
perfume_images\sx7xvoqdlkmni9n8kgqfqrwicnuhrkojs9256j8acuzubquq2lfcc9dnfbj8-w500-q85.jpg,Woody,Kouros,Yves Saint Laurent,"Oakmoss, Artemisia, Geranium, Leather, Patchouli, Amber, Clove, Coriander, Incense / Olibanum, Musk, Vanilla, Vetiver, Bergamot, Cinnamon, Jasmine",
perfume_images\4r4v2i3agsrqenv9y3krdgqglfgr4oezokslmd71t2ehuomw2i7pbm8d8rhx-w500-q85.jpg,Floral,Thinking Of Love,Mary Kay,"Iris / Orris, Rose (Turkey), Pink Pepper, Freesia, Honeysuckle, Mandarin, Sandalwood (Indonesia)",
perfume_images\2x992rctn0kla1yc8m3e0d72fi1pduz10v9ru5z6iib93g2wt2ov74g9v6qg-w500-q85.jpg,Floral,Alma Black Rose,La Martina,"Rose (Turkey), Hedione (light Jasmine), Musk, Amber, Geranium, Vanilla",
perfume_images\7hooiux7ln6tsq7frtv95p3yqtg7bxh3ox2i80x6t4292vwb8x7u07soy4m2-w500-q85.jpg,Sweet,Michael Kors Glam Ruby,Michael Kors,"Cashmeran (Woody musky), Raspberry, Jasmine (Sambac), Apricot, Orange Blossom, Pepper, Rose, Vanilla",
perfume_images\bjob6gfps0f2ewqdkkghvln5pnuc4bzl946d2x6o9awg92i4urliev7uyqi0-w500-q85.jpg,Floral,Najdia In Gold,Lattafa,"Rose, Orange Blossom, Tonka Bean, Iris / Orris, Peach, Vanilla, Mandarin, Musk, Sandalwood",
perfume_images\zp7kduhmyu71lartai083xdr12694slk1a1oobedk5w5f7ri5yfm2xidgjt5-w500-q85.jpg,Woody,Gentil Suono,Salvatore Ferragamo,"Cedarwood, Myrrh, Black Pepper, Ciste Labdanum, Vetiver (Bourbon), Incense / Olibanum, Plum, Geranium, Mandarin",
perfume_images\ggykty08qosisbacsioen7onyrkr2bfspgpxkvqx426bvgtsy1qvgt9t5fcm-w500-q85.jpg,Floral,Bella Kiss The Frog,Nina Ricci,"Rhubarb, Vanilla, Freesia, Rose, Mandarin, Musk",
perfume_images\edw7im3u1fa4u2w9o3vzdm0mdnrgp6jibfel5bchzpebdydaxpgxc1a99gm7-w500-q85.jpg,Floral,Mon Petit Eau De Toilette,Lolita Lempicka,"Musk, Freesia, Orange Blossom, Anise, White Sugared Almond",
perfume_images\mivwhjm3r1e5z5k6x743ib0zj949o1cuozvon9a2fmzcz3o5w1w7gseg34dd-w500-q85.jpg,Woody,Dans Le Bleu Qui Pétille,Serge Lutens,"Sea Water, Coriander",
perfume_images\9xherad1icdh9lwtaf7f0huuqv6uamdap14fx1mvjnwhe16szyaabhuewnsy-w500-q85.jpg,Floral,Elixirs Of Nature : Kahaia,The Body Shop,"Tiare, Jasmine (Sambac), Grapefruit, Mandarin, Pink Pepper, Benzoin, Praline, Vanilla, Ambrox (Ambergris)",
perfume_images\z8k0b1l6h5phnjxekfq0ngjbukr57kz2747r2lloj19j2aq887pa383in71y-w500-q85.jpg,Woody,Velvet Aura,Tfk,"Amber, Black Pepper, Musk, Oud (Laos), Cedarwood (Atlas), Cardamom, Galbanum, Jasmine",
perfume_images\2d5jagruhh3kvf1ghrshyh4z41jlwx24k8x2w1e5q9g25r5p90s65svu7ee1-w500-q85.jpg,Floral,Mémoire De Roses,L'Artisan Parfumeur,"Rose (Turkey), Mandarin, Musk, Bergamot, Ambrofix (Ambergris), Georgywood (Cedarwood note)",
perfume_images\01340_The_Noir_29_Eau_de_Parfum.jpg,Woody,The Noir 29 Eau de Parfum,Le Labo,"Black tea leaves, bergamot, fig, cedar, vetiver, bay leaf, musk",https://static.luckyscent.com/images/products/46868.jpg?width=400&404=product.png
perfume_images\eeqquwipkypil0x1pdbotk7auei0mu7bfwe5z9llkvjfqzxo9qpodw20fvdy-w500-q85.jpg,Woody,The One For Men Intense,Dolce & Gabbana,"Cashmeran (Woody musky), Leather, Neroli, Benzoin, Ciste Labdanum, Clary Sage, Cardamom, Patchouli",
